id,name,is_potentially_hazardous,close_approach_date,diameter_min_km,diameter_max_km,relative_velocity_km_s,miss_distance_km
54561044,(2025 VZ),False,2025-11-19,0.0490856986,0.1097589589,10.7811084716,9016626.893407721
54561386,(2025 VK2),False,2025-11-19,0.0163589331,0.0365796865,15.1377362561,3109453.407151801
54561502,(2025 VO2),False,2025-11-19,0.0167322743,0.0374145028,5.6871401374,5634182.565787228
54561693,(2025 VA5),False,2025-11-19,0.0266903935,0.0596815342,8.8007773169,7752123.042109327
3520665,(2010 JU34),False,2025-11-18,0.0930154254,0.2079888141,14.7294685843,69827411.92211391
3736387,(2015 XT168),False,2025-11-18,0.1756123185,0.3926810818,19.9456095472,46355814.41040441
3789421,(2017 VS14),False,2025-11-18,0.0116025908,0.0259441818,6.7632180944,22657274.820574936
3836131,(2018 VT5),False,2025-11-18,0.0053034072,0.0118587791,14.6530452695,25395509.909676492
54392432,(2023 TG5),False,2025-11-18,0.011982708,0.0267941497,16.4918641262,64121034.755685724
54408397,(2023 WK3),True,2025-11-18,0.21505769,0.4808836139,18.4658716908,28557932.407045346
54500500,(2024 WW2),False,2025-11-18,0.0056047336,0.0125325654,14.7037947988,25792918.566184226
54520815,(2025 DU7),False,2025-11-18,0.0034241673,0.0076566709,2.3744593716,17821065.768704653
54544430,(2025 RK1),True,2025-11-18,0.1700415193,0.3802243961,12.137929435,11622653.024842978
54561367,(2025 VP1),False,2025-11-18,0.0087650617,0.0195992737,8.2020144579,581471.556988751
54561683,(2025 VC4),False,2025-11-18,0.0095225876,0.0212931532,10.0052469646,1991034.793066872
